,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-francois,46.4154,3.9054,58.44,88,100,3.44,FR,1665438862
1,dunedin,-45.8742,170.5036,53.8,73,98,13.0,NZ,1665438826
2,tashla,51.7716,52.7427,55.38,38,100,10.65,RU,1665438862
3,mbandaka,0.0487,18.2603,70.0,92,99,2.01,CD,1665438863
4,ostersund,63.1792,14.6357,48.65,81,75,11.5,SE,1665438863
5,iqaluit,63.7506,-68.5145,26.33,79,75,13.8,CA,1665438864
6,avera,33.194,-82.5271,78.31,50,37,6.2,US,1665438864
7,minab,27.1467,57.0801,80.62,42,0,1.21,IR,1665438864
8,saint-leu,-21.15,55.2833,68.86,77,39,4.45,RE,1665438865
9,luderitz,-26.6481,15.1594,59.74,89,34,2.46,NA,1665438865
10,kapaa,22.0752,-159.319,85.1,66,90,4.0,US,1665438866
11,hermanus,-34.4187,19.2345,69.8,49,100,6.93,ZA,1665438866
12,hofn,64.2539,-15.2082,33.84,59,51,8.63,IS,1665438866
13,nanortalik,60.1432,-45.2371,37.44,92,100,5.03,GL,1665438867
14,yellowknife,62.456,-114.3525,55.92,58,75,17.27,CA,1665438771
15,lumeje,-11.55,20.7833,70.38,25,82,4.63,AO,1665438867
16,port alfred,-33.5906,26.891,66.18,88,100,1.01,ZA,1665438868
17,bredasdorp,-34.5322,20.0403,64.2,63,97,2.55,ZA,1665438868
18,punta arenas,-53.15,-70.9167,50.11,57,40,16.11,CL,1665438868
19,racine,42.7495,-88.0751,68.29,71,0,6.91,US,1665438858
20,amet,25.3,73.9333,73.69,61,0,3.2,IN,1665438869
21,los llanos de aridane,28.6585,-17.9182,65.95,84,40,9.22,ES,1665438869
22,butaritari,3.0707,172.7902,82.04,74,84,13.44,KI,1665438600
23,cape town,-33.9258,18.4232,71.38,57,0,13.8,ZA,1665438870
24,gweta,-20.1833,25.2333,71.78,18,1,8.61,BW,1665438870
25,yelanskiy,56.8419,62.5014,51.12,74,100,8.75,RU,1665438871
26,faanui,-16.4833,-151.75,78.04,75,30,17.36,PF,1665438871
27,talaya,61.3833,152.75,2.1,96,48,2.17,RU,1665438872
28,payson,40.0444,-111.7321,77.25,22,0,1.99,US,1665438872
29,sudzha,51.1976,35.2726,46.72,78,100,15.48,RU,1665438872
30,karatsu,33.4425,129.9697,62.49,25,100,1.01,JP,1665438583
31,atuona,-9.8,-139.0333,76.69,69,9,13.35,PF,1665438593
32,ukiah,39.1502,-123.2078,95.43,21,0,3.44,US,1665438608
33,new norfolk,-42.7826,147.0587,52.57,73,35,3.02,AU,1665438747
34,santa fe,-31.6333,-60.7,70.02,28,3,5.01,AR,1665438655
35,ushuaia,-54.8,-68.3,49.62,57,75,20.71,AR,1665438589
36,hamilton,39.1834,-84.5333,74.21,39,0,3.0,US,1665438800
37,saint-philippe,-21.3585,55.7679,69.39,81,25,9.22,RE,1665438874
38,mitsamiouli,-11.3847,43.2844,75.33,74,5,6.31,KM,1665438874
39,bluff,-46.6,168.3333,49.19,63,67,18.54,NZ,1665438587
40,jamestown,42.097,-79.2353,58.64,42,0,9.22,US,1665438651
41,mataura,-46.1927,168.8643,45.19,92,99,5.99,NZ,1665438875
42,hilo,19.7297,-155.09,88.29,72,20,10.36,US,1665438674
43,tessalit,20.1986,1.0114,86.59,16,62,11.83,ML,1665438875
44,tamandare,-8.7597,-35.1047,77.13,76,47,8.79,BR,1665438876
45,north bend,43.4065,-124.2243,66.92,88,40,16.11,US,1665438850
46,gaya,24.7833,85.0,78.71,89,75,0.0,IN,1665438876
47,port elizabeth,-33.918,25.5701,70.11,91,0,12.66,ZA,1665438877
48,esperance,-33.8667,121.9,55.17,69,99,18.39,AU,1665438877
49,muros,42.7762,-9.0603,59.85,95,97,6.15,ES,1665438878
50,morwell,-38.2333,146.4,53.4,67,100,3.04,AU,1665438878
51,milan,45.4643,9.1895,61.25,94,0,2.3,IT,1665438605
52,obo,5.3998,26.4869,67.32,98,73,1.66,CF,1665438878
53,lebu,-37.6167,-73.65,50.11,76,2,19.24,CL,1665438680
54,ixtapa,20.7,-105.2,90.23,61,15,5.99,MX,1665438879
55,karratha,-20.7377,116.8463,75.13,26,67,9.1,AU,1665438826
56,narsaq,60.9167,-46.05,35.04,99,100,5.48,GL,1665438879
57,san patricio,28.017,-97.5169,87.66,49,83,15.55,US,1665438880
58,plettenberg bay,-34.0527,23.3716,69.55,60,100,6.13,ZA,1665438880
59,saint-pierre,-21.3393,55.4781,69.48,73,75,3.44,RE,1665438881
60,rikitea,-23.1203,-134.9692,72.19,72,3,8.39,PF,1665438881
61,barrow,71.2906,-156.7887,24.82,86,75,17.27,US,1665438828
62,thompson,55.7435,-97.8558,69.96,37,20,13.8,CA,1665438882
63,tiksi,71.6872,128.8694,11.79,88,99,13.94,RU,1665438666
64,albany,42.6001,-73.9662,55.63,86,52,3.89,US,1665438882
65,sao joao da barra,-21.6403,-41.0511,77.09,86,13,6.42,BR,1665438882
66,kodiak,57.79,-152.4072,50.7,73,96,12.57,US,1665438883
67,talara,-4.5772,-81.2719,70.56,64,0,16.11,PE,1665438883
68,hithadhoo,-0.6,73.0833,80.74,79,98,17.52,MV,1665438678
69,fortuna,40.5982,-124.1573,59.92,94,20,6.91,US,1665438884
70,hay river,60.8156,-115.7999,55.38,35,100,17.27,CA,1665438870
71,calama,-22.4667,-68.9333,68.49,2,0,32.21,CL,1665438807
72,tuy hoa,13.0833,109.3,75.96,96,100,12.77,VN,1665438884
73,kahului,20.8947,-156.47,84.97,84,6,5.99,US,1665438885
74,namibe,-15.1961,12.1522,67.33,87,42,9.73,AO,1665438885
75,salalah,17.0151,54.0924,77.25,58,31,1.97,OM,1665438885
76,denpasar,-8.65,115.2167,78.46,100,20,2.3,ID,1665438886
77,dutse,11.7594,9.3392,79.18,35,2,0.87,NG,1665438886
78,jagdalpur,19.0667,82.0333,69.15,96,91,3.11,IN,1665438887
79,puerto ayora,-0.7393,-90.3518,76.96,88,71,5.99,EC,1665438887
80,constitucion,-35.3333,-72.4167,55.92,70,0,13.78,CL,1665438887
81,cherskiy,68.75,161.3,17.55,95,100,13.47,RU,1665438888
82,grindavik,63.8424,-22.4338,37.87,70,100,13.8,IS,1665438888
83,oregon,44.0001,-120.5014,73.22,15,6,14.5,US,1665438888
84,upernavik,72.7868,-56.1549,16.41,69,92,4.18,GL,1665438889
85,busselton,-33.65,115.3333,52.32,67,98,9.82,AU,1665438889
86,torbay,47.6666,-52.7314,48.97,67,20,17.27,CA,1665438890
87,russell,32.3502,-85.1999,78.96,31,0,5.75,US,1665438890
88,ancud,-41.8697,-73.8203,49.46,69,10,8.61,CL,1665438890
89,chokurdakh,70.6333,147.9167,19.36,81,100,17.31,RU,1665438891
90,vaini,-21.2,-175.2,78.96,69,75,24.16,TO,1665438593
91,yerbogachen,61.2767,108.0108,33.01,96,100,5.57,RU,1665438891
92,bambous virieux,-20.3428,57.7575,70.05,83,40,8.05,MU,1665438891
93,karpathos,35.507,27.2132,67.96,77,0,8.05,GR,1665438892
94,dudinka,69.4058,86.1778,36.63,100,100,4.81,RU,1665438892
95,sioux lookout,50.1001,-91.917,59.07,51,75,14.97,CA,1665438893
96,kaohsiung,22.6163,120.3133,73.04,77,40,3.44,TW,1665438893
97,ambulu,-8.345,113.6058,75.63,93,100,1.81,ID,1665438893
98,hobart,-42.8794,147.3294,52.92,86,75,9.22,AU,1665438860
99,along,28.1667,94.7667,70.05,99,100,0.96,IN,1665438894
100,duiwelskloof,-23.6934,30.14,64.4,84,0,2.62,ZA,1665438894
101,nikolskoye,59.7035,30.7861,44.49,86,52,6.2,RU,1665438894
102,carbonia,39.1672,8.5222,67.01,79,92,3.98,IT,1665438895
103,college,64.8569,-147.8028,33.58,85,20,0.0,US,1665438895
104,flinders,-34.5833,150.8552,60.06,87,95,3.0,AU,1665438896
105,springbok,-29.6643,17.8865,61.61,56,100,3.11,ZA,1665438896
106,aykhal,66.0,111.5,17.6,100,92,6.89,RU,1665438896
107,osmanabad,18.1667,76.05,72.03,89,100,4.59,IN,1665438897
108,mount isa,-20.7333,139.5,69.57,32,4,0.0,AU,1665438897
109,barguzin,53.6167,109.6167,33.46,62,95,0.34,RU,1665438898
110,avarua,-21.2078,-159.775,77.05,69,75,24.16,CK,1665438898
111,wahiawa,21.5028,-158.0236,83.79,61,100,0.0,US,1665438898
112,hami,42.8,93.45,52.5,27,36,14.83,CN,1665438899
113,alice springs,-23.7,133.8833,71.15,16,93,14.97,AU,1665438899
114,isangel,-19.55,169.2667,77.11,73,100,8.05,VU,1665438900
115,gornopravdinsk,60.05,69.9,44.17,91,84,8.99,RU,1665438900
116,wangkui,46.8333,126.5,33.17,60,0,7.0,CN,1665438901
117,douglas,41.3,-96.167,80.24,26,0,10.36,US,1665438901
118,qaanaaq,77.484,-69.3632,8.22,56,25,7.25,GL,1665438902
119,talnakh,69.4865,88.3972,36.21,99,100,6.58,RU,1665438902
120,carnarvon,-24.8667,113.6333,63.19,62,92,20.42,AU,1665438903
121,shar,49.5886,81.0453,39.36,81,42,2.89,KZ,1665438903
122,erzin,36.9559,36.2,67.98,55,0,2.64,TR,1665438904
123,clyde river,70.4692,-68.5914,17.83,86,75,17.27,CA,1665438904
124,katsuura,35.1333,140.3,70.86,63,96,24.92,JP,1665438680
125,leningradskiy,69.3833,178.4167,21.61,70,99,21.14,RU,1665438905
126,veraval,20.9,70.3667,81.1,81,84,5.41,IN,1665438905
127,kavieng,-2.5744,150.7967,82.6,68,23,8.08,PG,1665438906
128,santa rosa,14.3122,121.1114,80.58,87,51,2.15,PH,1665438906
129,rocha,-34.4833,-54.3333,47.5,75,38,7.34,UY,1665438866
130,vondrozo,-22.8167,47.2833,57.54,94,0,1.68,MG,1665438907
131,pahrump,36.2083,-115.9839,77.31,42,61,23.26,US,1665438737
132,cayenne,4.9333,-52.3333,84.24,79,75,6.91,GF,1665438710
133,saldanha,-33.0117,17.9442,66.25,84,100,13.6,ZA,1665438757
134,rio grande,-32.035,-52.0986,57.31,64,100,14.09,BR,1665438908
135,lingao,19.9103,109.6859,73.83,75,92,8.88,CN,1665438908
136,ponta do sol,32.6667,-17.1,74.01,74,58,5.82,PT,1665438909
137,mareeba,-17.0,145.4333,76.48,81,10,4.83,AU,1665438909
138,bontang,0.1333,117.5,74.5,93,100,6.22,ID,1665438909
139,cozumel,20.5083,-86.9458,80.94,89,100,7.0,MX,1665438904
140,adrar,20.5022,-10.0711,91.2,21,21,10.2,MR,1665438910
141,lasa,46.6166,10.7002,49.37,86,82,2.89,IT,1665438910
142,valuyki,50.2035,38.1067,49.91,94,100,14.32,RU,1665438911
143,mahebourg,-20.4081,57.7,70.09,83,40,8.05,MU,1665438911
144,cabacao,13.3356,120.6588,77.86,82,18,1.59,PH,1665438912
145,portobelo,9.55,-79.65,84.11,82,50,4.47,PA,1665438913
146,bathsheba,13.2167,-59.5167,84.81,79,40,17.27,BB,1665438913
147,magistralnyy,56.1725,107.4458,33.42,93,100,1.07,RU,1665438913
148,tasiilaq,65.6145,-37.6368,32.67,98,100,19.26,GL,1665438914
149,paracatu,-17.2222,-46.8747,80.01,27,20,3.18,BR,1665438914
150,popondetta,-8.7537,148.2534,82.69,71,59,0.87,PG,1665438915
151,bodden town,19.2833,-81.25,86.0,76,20,8.05,KY,1665438915
152,omboue,-1.5746,9.2618,77.0,90,100,4.23,GA,1665438915
153,yumen,40.2833,97.2,42.12,18,48,2.06,CN,1665438916
154,port lincoln,-34.7333,135.8667,63.52,46,99,14.67,AU,1665438916
155,castro,-24.7911,-50.0119,57.4,97,100,8.57,BR,1665438917
156,la grande,45.3246,-118.0877,78.01,33,8,11.7,US,1665438918
157,tongzhou,39.9053,116.5994,33.91,86,0,4.47,CN,1665438918
158,khatanga,71.9667,102.5,6.93,96,77,2.35,RU,1665438918
159,codrington,-38.2667,141.9667,55.53,74,93,11.97,AU,1665438919
160,seoul,37.5683,126.9778,47.64,76,40,5.75,KR,1665438919
161,roma,43.2128,-75.4557,55.81,65,28,4.0,US,1665438920
162,axim,4.8699,-2.2405,76.73,87,77,7.23,GH,1665438920
163,guerrero negro,27.9769,-114.0611,75.24,68,13,14.67,MX,1665438921
164,beringovskiy,63.05,179.3167,32.47,59,29,10.2,RU,1665438921
165,cruzeiro do sul,-29.5128,-51.9853,56.52,89,100,1.68,BR,1665438921
166,roald,62.5833,6.1333,49.75,81,75,23.02,NO,1665438922
167,udimskiy,61.1417,45.9144,38.03,92,21,8.08,RU,1665438922
168,kloulklubed,7.0419,134.2556,85.33,69,100,12.15,PW,1665438902
169,abashiri,44.0213,144.2697,55.85,97,100,3.91,JP,1665438923
170,sola,-13.8833,167.55,83.07,94,40,0.0,VU,1665438923
171,chivay,-15.6383,-71.6011,55.36,10,87,16.13,PE,1665438924
172,ercis,39.0287,43.3586,53.2,49,0,1.48,TR,1665438924
173,tuatapere,-46.1333,167.6833,48.45,78,98,11.43,NZ,1665438925
174,road town,18.4167,-64.6167,84.24,84,40,6.91,VG,1665438925
175,baykit,61.67,96.37,40.08,99,100,4.72,RU,1665438926
176,vestmannaeyjar,63.4427,-20.2734,39.81,61,95,7.31,IS,1665438926
177,kudahuvadhoo,2.6708,72.8944,81.1,79,50,20.36,MV,1665438926
178,nome,64.5011,-165.4064,31.15,84,64,8.77,US,1665438927
179,tingi,-11.3,35.0333,63.7,43,23,5.77,TZ,1665438927
180,dno,57.8277,29.9637,40.41,85,90,5.28,RU,1665438927
181,samus,56.7475,84.6992,45.23,76,100,12.48,RU,1665438928
182,chapais,49.7834,-74.8492,38.98,89,100,9.89,CA,1665438836
183,olafsvik,64.8945,-23.7142,38.84,67,90,15.39,IS,1665438928
184,tommot,58.9564,126.2925,30.61,97,100,5.75,RU,1665438929
185,plouzane,48.3833,-4.6167,51.85,81,0,6.91,FR,1665438929
186,richards bay,-28.783,32.0377,70.45,93,100,9.86,ZA,1665438930
187,gori,41.9842,44.1158,55.49,90,91,13.22,GE,1665438930
188,kaitangata,-46.2817,169.8464,47.68,82,98,10.47,NZ,1665438930
189,bethel,41.3712,-73.414,64.49,65,77,3.83,US,1665438931
190,fallon,39.4735,-118.7774,80.47,13,0,4.61,US,1665438930
191,rongcheng,30.634,117.8517,48.54,55,100,2.64,CN,1665438931
192,prerov,49.4551,17.4509,49.91,57,94,4.23,CZ,1665438932
193,srandakan,-7.9386,110.2506,76.1,90,100,4.09,ID,1665438932
194,bireun,5.203,96.7009,76.64,84,99,4.07,ID,1665438932
195,rawson,-43.3002,-65.1023,67.71,26,6,13.71,AR,1665438846
196,mackay,-21.15,149.2,71.69,80,87,16.42,AU,1665438933
197,sabha,27.0377,14.4283,74.5,28,41,6.44,LY,1665438934
198,xichang,27.8964,102.2634,51.55,94,100,1.16,CN,1665438934
199,maribondo,-9.5772,-36.3053,70.7,83,99,5.06,BR,1665438934
200,monte patria,-30.6919,-70.9467,67.35,37,0,6.96,CL,1665438935
201,dingle,10.9995,122.6711,75.06,91,46,1.59,PH,1665438935
202,naryan-mar,67.6713,53.087,41.2,87,98,20.4,RU,1665438935
203,labuhan,-6.8844,112.2051,78.17,86,99,8.32,ID,1665438936
204,sulangan,11.1373,123.7228,83.34,74,75,12.1,PH,1665438936
205,bengkulu,-3.8004,102.2655,75.96,85,100,3.89,ID,1665438937
206,sitka,57.0531,-135.33,50.36,75,100,5.5,US,1665438937
207,sao filipe,14.8961,-24.4956,78.82,76,53,7.54,CV,1665438937
208,hervey bay,-25.2986,152.8535,68.02,72,81,11.01,AU,1665438938
209,shingu,33.7333,135.9833,59.41,67,95,6.71,JP,1665438938
210,husavik,66.0449,-17.3389,21.79,88,90,12.93,IS,1665438938
211,chuy,-33.6971,-53.4616,50.2,69,11,6.96,UY,1665438669
212,severo-kurilsk,50.6789,156.125,46.87,82,100,13.87,RU,1665438839
213,tabuk,17.4189,121.4443,73.38,97,100,6.87,PH,1665438939
214,yar-sale,66.8333,70.8333,39.02,89,95,15.61,RU,1665438939
215,barcelos,41.5388,-8.6151,64.85,93,30,4.09,PT,1665438940
216,samarai,-10.6167,150.6667,81.9,76,33,10.45,PG,1665438940
217,bubaque,11.2833,-15.8333,82.06,72,41,2.57,GW,1665438941
218,alyangula,-13.8483,136.4192,76.87,94,40,0.0,AU,1665438941
219,banda aceh,5.5577,95.3222,77.56,83,100,10.04,ID,1665438941
220,pemba,-12.974,40.5178,75.9,83,40,8.05,MZ,1665438942
221,sanmenxia,34.7747,111.1814,46.4,35,1,3.58,CN,1665438942
222,bara,10.3744,10.7288,76.66,76,73,6.55,NG,1665438943
223,atherton,53.5237,-2.4935,50.04,85,96,3.87,GB,1665438943
224,east london,-33.0153,27.9116,68.05,87,100,15.55,ZA,1665438943
225,the valley,18.217,-63.0578,83.1,83,40,12.66,AI,1665438944
226,syracuse,37.0881,15.2792,63.77,74,8,4.65,IT,1665438944
227,colesberg,-30.72,25.0972,76.59,21,100,10.71,ZA,1665438944
228,ostrovnoy,68.0531,39.5131,39.43,93,65,11.18,RU,1665438945
229,kisangani,0.5167,25.2,69.67,96,65,0.81,CD,1665438945
230,cidreira,-30.1811,-50.2056,57.24,91,100,16.69,BR,1665438946
231,carballo,43.213,-8.691,62.02,95,98,1.54,ES,1665438946
232,hirado,33.3597,129.5531,60.39,63,100,20.31,JP,1665438946
233,deputatskiy,69.3,139.9,1.89,96,59,6.89,RU,1665438947
234,coihaique,-45.5752,-72.0662,53.55,50,75,5.75,CL,1665438947
235,ayan,56.45,138.1667,36.88,66,91,12.59,RU,1665438948
236,dindori,22.95,81.0833,70.43,94,100,3.51,IN,1665438948
237,ahipara,-35.1667,173.1667,64.54,60,54,3.04,NZ,1665438948
238,sumbe,-11.2061,13.8437,72.91,86,7,8.03,AO,1665438949
239,airai,-8.9266,125.4092,62.08,79,100,2.06,TL,1665438903
240,vallenar,-28.5708,-70.7581,67.19,37,0,6.04,CL,1665438949
241,kitakata,37.65,139.8667,56.61,95,100,3.76,JP,1665438950
242,odweyne,9.4092,45.064,77.05,51,69,6.6,SO,1665438950
243,woodstock,43.1334,-80.7497,60.03,47,11,11.01,CA,1665438794
244,ilulissat,69.2167,-51.1,27.75,86,100,8.21,GL,1665438950
245,victoria,22.2855,114.1577,73.33,46,4,15.01,HK,1665438951
246,erenhot,43.6475,111.9767,39.74,19,3,8.5,CN,1665438951
247,rio gallegos,-51.6226,-69.2181,59.05,25,20,24.16,AR,1665438952
248,aasiaat,68.7098,-52.8699,25.11,87,100,11.14,GL,1665438952
249,qesarya,32.5189,34.9046,68.34,67,0,5.68,IL,1665438952
250,georgetown,5.4112,100.3354,80.53,91,20,3.44,MY,1665438799
251,bousso,10.4795,16.7117,75.02,74,34,5.53,TD,1665438953
252,maniitsoq,65.4167,-52.9,35.83,83,100,14.81,GL,1665438954
253,tuktoyaktuk,69.4541,-133.0374,30.2,86,100,18.41,CA,1665438954
254,pevek,69.7008,170.3133,25.66,81,100,26.28,RU,1665438954
255,saint-marc-des-carrieres,46.6834,-72.0491,50.22,46,83,3.44,CA,1665438955
256,ketchikan,55.3422,-131.6461,53.58,61,31,6.24,US,1665438955
257,nelidovo,56.2211,32.7774,38.77,89,16,1.01,RU,1665438955
258,mehamn,71.0357,27.8492,40.95,75,0,4.61,NO,1665438956
259,sibolga,1.7427,98.7792,75.85,85,99,1.79,ID,1665438956
260,kita,13.0349,-9.4895,73.99,84,87,2.62,ML,1665438956
261,isiro,2.7739,27.616,65.64,99,88,1.81,CD,1665438957
262,puro,12.4841,123.3827,80.69,80,94,10.56,PH,1665438957
263,mar del plata,-38.0023,-57.5575,56.08,77,0,18.99,AR,1665438957
264,cancun,21.1743,-86.8466,82.06,78,100,6.31,MX,1665438726
265,lagoa,39.05,-27.9833,69.91,86,85,6.02,PT,1665438958
266,orbetello,42.4408,11.2196,64.71,81,90,3.78,IT,1665438958
267,saskylakh,71.9167,114.0833,9.55,94,40,8.88,RU,1665438959
268,neiafu,-18.65,-173.9833,74.08,100,100,11.5,TO,1665438959
269,lavrentiya,65.5833,-171.0,27.46,56,1,7.67,RU,1665438959
270,iranshahr,27.2025,60.6848,70.14,11,0,6.91,IR,1665438960
271,lodja,-3.4833,23.4333,69.53,82,92,1.74,CD,1665438960
272,shenjiamen,29.9576,122.298,59.65,61,90,13.6,CN,1665438961
273,hirara,24.8,125.2833,73.67,64,40,19.57,JP,1665438961
274,arraial do cabo,-22.9661,-42.0278,73.26,88,40,3.44,BR,1665438961
275,kendari,-3.945,122.4989,74.48,94,53,4.36,ID,1665438962
276,chake chake,-5.2459,39.7666,72.84,79,44,10.13,TZ,1665438962
277,svetlyy,54.675,20.1347,48.25,58,90,18.1,RU,1665438963
278,bonthe,7.5264,-12.505,76.86,91,16,3.36,SL,1665438963
279,kabompo,-13.5927,24.2008,65.03,31,59,4.54,ZM,1665438963
280,utica,43.1009,-75.2327,55.51,70,34,1.99,US,1665438715
281,saint george,37.1041,-113.5841,86.43,24,6,3.0,US,1665438964
282,mabaruma,8.2,-59.7833,78.62,81,60,4.81,GY,1665438965
283,san juan,-31.5375,-68.5364,71.62,12,0,5.93,AR,1665438910
